BST8;BST_NAME;LAND;LAT;LON
10007021;TAHKOLUOTO;FINNLAND;61.633317;21.41666
10007401;HANKO GR;FINNLAND;62.123247;25.655826
10007500;RAUTARUUKKI;FINNLAND;62.176757;24.674136
10007666;VEITSILUOTO;FINNLAND;61.547773;26.716699
10007674;AJOS;FINNLAND;65.675886;24.580797
10007708;RISTIINA;FINNLAND;61.506484;27.257807
10008136;ISOKYLAE;FINNLAND;66.695074;27.558196
10008334;ROEYTTAE;FINNLAND;65.761028;24.162004
10008417;SAEYNAETSALO;FINNLAND;62.140653;25.770333
10008458;LAMMINNIEMI;FINNLAND;62.35975;23.381894
10008714;LAHNASLAMPI;FINNLAND;63.743121;24.278423
10009191;PUHOS;FINNLAND;62.085649;29.904506
10009357;PANKAKOSKI;FINNLAND;63.321048;30.146167
10009399;AROLA;FINNLAND;61.040488;21.832772
10009407;YPYKKAEVAARA;FINNLAND;65.015466;25.575727
10009415;VARTIUS;FINNLAND;64.495577;29.907499
10009498;VARTIUS GR;FINNLAND;61.553421;29.638065
10009548;KAUKOPAEAE;FINNLAND;;
10009688;TIKKURILA;FINNLAND;60.287577;25.040197
10009803;HOVINSAARI;FINNLAND;60.49028;26.902511
10013219;VUOSAARI;FINNLAND;60.20879;25.143731
10013229;VUOSAARI;FINNLAND;60.20879;25.143731
10213322;TURKU SAT/ABO.HAM;FINNLAND;60.451813;22.26663
10311050;HELSINKI/HELSINGFORS;FINNLAND;60.170878;24.93979
10316174;HANKO;FINNLAND;59.830423;22.982378
11430611;SERAING ARCELOR MIT1;FINNLAND;;
13001313;BURE CASERNE;FINNLAND;;
13026013;MALMBERGET;FINNLAND;67.173653;20.654517
13093013;MARCIANISE;FINNLAND;41.031087;14.299542
16250316;ANTW. WAASL-ZUID STZ;FINNLAND;;
20000000;;Russische Föderation;;
20008011;MAMONOWO;Russische Föderation;54.465815;19.934845
20010009;PETROZAVODSK;Russische Föderation;61.778162;34.36404
20010900;NIGOSERO;Russische Föderation;62.232549;34.285604
20011809;SEGEJA;Russische Föderation;63.73884;34.309752
20014902;KANDALAKSHA;Russische Föderation;67.170051;32.422966
20015404;KOVDOR;Russische Föderation;67.570005;30.473871
20015503;POLJARNY SORY;Russische Föderation;69.198673;33.439448
20015701;KANDALEKSCHA;Russische Föderation;67.170051;32.422966
20015800;TITAN;Russische Föderation;67.561667;33.631667
20016006;APATITY;Russische Föderation;67.577788;33.390416
20016303;OLENOGORSK;Russische Föderation;68.142461;33.257392
20018101;ZAPOLIARNAIA;Russische Föderation;;
20018408;MURMANSK;Russische Föderation;68.958524;33.08266
20020008;WYBORG;Russische Föderation;60.713953;28.757157
20020404;PRIBYLOWO;Russische Föderation;;
20027325;NEWELSK;Russische Föderation;;
20031609;KOLPINO;Russische Föderation;59.721609;30.504297
20031815;ST.PETERSBURG-GLAR.;Russische Föderation;59.93428;30.335099
20032508;PAVLOVSK;Russische Föderation;59.681198;30.444376
20033068;SANKT PETERBURG VITEBSKII;Russische Föderation;59.90789;30.3805
20034009;GATCINA;Russische Föderation;59.562463;30.106466
20035303;SANKT PETERBURG VARSHAVSKII;Russische Föderation;59.94054;30.3611
20035501;AWTOWO;Russische Föderation;;
20035600;AWTOWO-EKS.;Russische Föderation;;
20035808;NOWY PORT-LENINGRAD;Russische Föderation;54.7651;20.617722
20036020;SANKT PETERBURG;Russische Föderation;59.88444;30.4516
20036103;MELNICNYI;Russische Föderation;;
20037002;RZHEWKA;Russische Föderation;50.433736;36.989509
20037101;DACHA DOLGORUKOVA;Russische Föderation;54.320994;35.266589
20037325;NEWELSK;Russische Föderation;;
20037606;GRUSINO;Russische Föderation;;
20038000;KAPITOLOVO;Russische Föderation;60.09719;30.44892
20038208;ST.PETERSBURG-PASS-FIN;Russische Föderation;59.93428;30.335099
20038802;LEVASOVO;Russische Föderation;60.103683;30.203118
20039305;ZELENOGORSK;Russische Föderation;60.196715;29.700692
20040105;NOVGOROD-NA-VOLKHOVE;Russische Föderation;58.527203;31.250484
20047407;BOLSCHOI DWOR;Russische Föderation;;
20054890;NIKLASDORF- HIST FLOTTE;Russische Föderation;;
20055509;KRESTCY;Russische Föderation;58.241914;32.502162
20056705;DNO;Russische Föderation;57.792892;29.870315
20057000;LOKNAIA;Russische Föderation;;
20057109;SUSCEVO;Russische Föderation;57.2147;29.8485
20057406;DEDOVICHI;Russische Föderation;57.558396;29.876642
20058008;SOLCY;Russische Föderation;58.061772;30.046229
20058107;UTORGOSH;Russische Föderation;58.294257;30.025714
20058305;BATECKAIA;Russische Föderation;58.3603;29.9397
20059006;VYRICA;Russische Föderation;59.405163;30.326843
20060004;HOVRINO;Russische Föderation;;
20060202;MOSKVA OKTOBARSKAJA TOVARNAIA;Russische Föderation;55.755826;37.6173
20060301;HIMKI;Russische Föderation;55.894055;37.443949
20060806;PODSOLNECHNAIA;Russische Föderation;;
20060905;KLIN;Russische Föderation;56.333382;36.730447
20061507;KALININ/TWER;Russische Föderation;56.809765;36.010854
20062620;TASZAR;Russische Föderation;;
20062703;VYSHNII VOLOCHEK;Russische Föderation;57.583603;34.564259
20063107;RJEW-BELORUSSKI;Russische Föderation;;
20064105;TORJOK;Russische Föderation;57.035934;34.969076
20065300;ZAPADNIA DVINA;Russische Föderation;56.263568;32.075993
20066001;VELIKIE LUKI;Russische Föderation;56.339609;30.531475
20066100;SEBEJ;Russische Föderation;56.288925;28.467939
20066605;NOVOSOKOLNIKI;Russische Föderation;56.343741;30.171652
20066902;KLIASTICA-EKS.;Russische Föderation;;
20067108;NEVEL II;Russische Föderation;56.0188;29.934375
20067132;EZERISHE;Russische Föderation;;
20067405;ZAWEREJE-EKS.;Russische Föderation;;
20067702;TOROPEC;Russische Föderation;56.501204;31.639144
20070003;BEREZKI;Russische Föderation;56.108772;37.033734
20070508;PSKOV TOV.;Russische Föderation;57.816699;28.334473
20070607;PSKOV-PASSAJIRSKII;Russische Föderation;57.8125;28.353787
20072009;LUGA I;Russische Föderation;58.740819;29.85059
20072504;SIWERSKAJA;Russische Föderation;;
20073304;IVANGOROD-NARVSKIJ;Russische Föderation;59.371564;28.218812
20074500;UST-LUGA;Russische Föderation;59.653383;28.269693
20075408;ORANIENBAUM;Russische Föderation;59.933333;29.766667
20076802;LUZHSKAYA (PAROM. EK;Russische Föderation;59.393402;28.865074
20076809;;Russische Föderation;;
20077909;PYTALOVO;Russische Föderation;57.068579;27.9161
20078501;SKANGALI;Russische Föderation;56.532463;27.462397
20100008;KALININGRAD;Russische Föderation;54.710426;20.452214
20100099;KALININGRAD;Russische Föderation;54.710263;20.481307
20100404;NESTEROW-EKS.;Russische Föderation;54.630547;22.569125
20100503;NESTEROV;Russische Föderation;54.633874;22.565513
20102707;MAMONOVO;Russische Föderation;54.683488;27.743901
20103408;BALTIJSK/PION.KUR.;Russische Föderation;54.652312;19.921869
20104500;BALTIYSK (PAROM, EKSP.3 STR.);Russische Föderation;54.659122;19.922895
20104505;BALTIJSK (PAROM, EKSP.3 STR.);Russische Föderation;54.668105;19.92689
20131706;VYSOKO LITOVSK;Russische Föderation;57.482618;39.860649
20160606;GORODOK;Russische Föderation;44.421915;39.38184
20164103;GUDOGAJ;Russische Föderation;;
20170001;SMOLENSK;Russische Föderation;54.790311;32.050366
20170100;SMOLENSK;Russische Föderation;54.718456;32.121983
20170803;JELNJA;Russische Föderation;54.579084;33.178707
20171405;KRASNOJE GRENZE;Russische Föderation;54.494873;21.519542
20172007;RUDNIA-EKS.;Russische Föderation;54.948864;31.05708
20172304;IARCEVO;Russische Föderation;54.9443;32.8251
20172502;SAFONOWO;Russische Föderation;55.108106;33.237745
20173401;IZDESHKOVO;Russische Föderation;55.144629;33.626831
20173609;SEMLEVO;Russische Föderation;55.043722;33.967945
20174102;VIAZMA-NOVOTORJSKAIA;Russische Föderation;55.192903;34.296671
20174300;VJAZMA;Russische Föderation;55.122102;34.421536
20175406;GAGARIN;Russische Föderation;55.552886;34.996654
20176008;SOCHNO;Russische Föderation;;
20178509;JUKOVKA;Russische Föderation;53.535085;33.728044
